Sample,AgeID,ObjID,Actual Full ID,Morphotype_Name
ANT39.080.1,37.19385,obj00004,ANT39-080-14H-7W-4-17cm_obj00004,Acrodin Tip Beak 1/2 Root Concave Base
ANT40.083.1,37.64623,obj00008,ANT40-083-15H-2W-110-115cm_obj00008,Acrodin Tip Small Cone No Blades Dome Root
ANT41.085.1,37.78361,obj00003,ANT41-085-15H-3W-59-62cm_obj00003,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT41.085.1,37.78361,obj00006,ANT41-085-15H-3W-59-62cm_obj00006,Acrodin Tip Small Spearhead Pointed Tooth
ANT41.085.1,37.78361,obj00008,ANT41-085-15H-3W-59-62cm_obj00008,Acrodin Tip Standard Slight Curve
ANT41.085.1,37.78361,obj00013,ANT41-085-15H-3W-59-62cm_obj00013,Acrodin Tip Small Spearhead Tooth
ANT41.086.1,37.85438,obj00042,ANT41-086-15H-3W-110-115cm_obj00042,Acrodin Tip Small Spearhead Pointed Tooth
ANT41.086.1,37.85438,obj00046,ANT41-086-15H-3W-110-115cm_obj00046,Acrodin Tip Beak 1/2 Root Concave Base
ANT41.086.1,37.85438,obj00047,ANT41-086-15H-3W-110-115cm_obj00047,Acrodin Tip Funnel 3/4 Root Flat
ANT41.086.1,37.85438,obj00052,ANT41-086-15H-3W-110-115cm_obj00052,Acrodin Tip Funnel 3/4 Root
ANT41.086.1,37.85438,obj00075,ANT41-086-15H-3W-110-115cm_obj00075,Acrodin Tip Small Spearhead Tooth
ANT42.087.1,37.92376,obj00001,ANT42-087-15H-4W-10-13cm_obj00001,Acrodin Tip Concave 1/2 Root Thick Blades
ANT42.088.1,37.99315,obj00003,ANT42-088-15H-4W-60-63cm_obj00003,Patrick Sans Arms Tooth Straight
ANT43.089.1,38.05143,obj00002,ANT43-089-15H-4W-102-108cm_obj00002,Acrodin Tip Funnel 3/4 Root Flat
ANT43.089.1,38.05143,obj00003,ANT43-089-15H-4W-102-108cm_obj00003,Acrodin Tip Funnel 3/4 Root
ANT43.089.1,38.05143,obj00004,ANT43-089-15H-4W-102-108cm_obj00004,Acrodin Tip Long Dark Root
ANT43.089.1,38.05143,obj00017,ANT43-089-15H-4W-102-108cm_obj00017,Acrodin Tip Small Spearhead Tooth
ANT44.091.1,38.1988,obj00003,ANT44-091-15H-5W-65-68cm_obj00003,Acrodin Tip Small Spearhead Pointed Tooth
ANT44.092.1,38.25453,obj00003,ANT44-092-15H-5W-109-112cm_obj00003,Acrodin Tip Small Spearhead Pointed Tooth
